         Train  Validation
628   7.484953         NaN
629   7.482459         NaN
630   7.480354         NaN
631   7.485636         NaN
632   7.484317         NaN
633   7.486344         NaN
634   7.490478         NaN
635   7.487540         NaN
636   7.491597         NaN
637   7.482546         NaN
638   7.481498         NaN
639   7.479360         NaN
640   7.486592         NaN
641   7.486947         NaN
642   7.487617         NaN
643   7.486114         NaN
644   7.492312         NaN
645   7.484777         NaN
646   7.482224         NaN
647   7.480382         NaN
648   7.485530         NaN
649   7.483791         NaN
650   7.485834         NaN
651   7.490450         NaN
652   7.487330         NaN
653   7.491662         NaN
654   7.482126         NaN
655   7.481386         NaN
656   7.479419         NaN
657   7.486166         NaN
658   7.486459         NaN
659   7.487265         NaN
660   7.486084         NaN
661   7.491774         NaN
662   7.484609         NaN
663   7.481673         NaN
664   7.480082         NaN
665   7.485397         NaN
666   7.483347         NaN
667   7.485370         NaN
668   7.490025         NaN
669   7.486956         NaN
670   7.491283         NaN
671   7.481844         NaN
672   7.481304         NaN
673   7.478762         NaN
674   7.485947         NaN
675   7.486074         NaN
676   7.486994         NaN
677   7.485577         NaN
678   7.491794         NaN
679   7.484304         NaN
680   7.481320         NaN
681   7.479736         NaN
682   7.485167         NaN
683   7.483233         NaN
684   7.485400         NaN
685   7.489858         NaN
686   7.486789         NaN
687   7.490604         NaN
688   7.481712         NaN
689   7.481258         NaN
690   7.478158         NaN
691   7.485669         NaN
692   7.486214         NaN
693   7.487120         NaN
694   7.485105         NaN
695   7.491663         NaN
696   7.483995         NaN
697   7.481251         NaN
698   7.479447         NaN
699   7.484858         NaN
700   7.483142    7.709335
701   7.484692         NaN
702   7.489776         NaN
703   7.486526         NaN
704   7.490264         NaN
705   7.481591         NaN
706   7.481185         NaN
707   7.478271         NaN
708   7.485246         NaN
709   7.486228         NaN
710   7.486780         NaN
711   7.484845         NaN
712   7.491158         NaN
713   7.483792         NaN
714   7.481008         NaN
715   7.479889         NaN
716   7.484216         NaN
717   7.482713         NaN
718   7.484693         NaN
719   7.489324         NaN
720   7.486407         NaN
721   7.489687         NaN
722   7.481729         NaN
723   7.480851         NaN
724   7.478639         NaN
725   7.484878         NaN
726   7.486017         NaN
727   7.486332         NaN
728   7.484895         NaN
729   7.490646         NaN
730   7.483639         NaN
731   7.481204         NaN
732   7.479830         NaN
733   7.484008         NaN
734   7.482639         NaN
735   7.484154         NaN
736   7.489114         NaN
737   7.486394         NaN
738   7.489581         NaN
739   7.481653         NaN
740   7.480580         NaN
741   7.478399         NaN
742   7.484531         NaN
743   7.485574         NaN
744   7.486051         NaN
745   7.484668         NaN
746   7.490481         NaN
747   7.483316         NaN
748   7.481081         NaN
749   7.479269         NaN
750   7.483963         NaN
751   7.482669         NaN
752   7.484033         NaN
753   7.488987         NaN
754   7.486048         NaN
755   7.489490         NaN
756   7.481243         NaN
757   7.480404         NaN
758   7.477801         NaN
759   7.484578         NaN
760   7.485541         NaN
761   7.486110         NaN
762   7.484223         NaN
763   7.490344         NaN
764   7.483163         NaN
765   7.481014         NaN
766   7.478813         NaN
767   7.483683         NaN
768   7.482761         NaN
769   7.483863         NaN
770   7.489112         NaN
771   7.485904         NaN
772   7.489146         NaN
773   7.481161         NaN
774   7.480439         NaN
775   7.477276         NaN
776   7.484474         NaN
777   7.485715         NaN
