<pixelCNNMADE.PixelCNNMADE object at 0x7f19f72cbbe0>
         Train  Validation
851   0.107065         NaN
852   0.113327         NaN
853   0.108395         NaN
854   0.106700         NaN
855   0.108450         NaN
856   0.114516         NaN
857   0.110412         NaN
858   0.113140         NaN
859   0.110141         NaN
860   0.117853         NaN
861   0.116787         NaN
862   0.106804         NaN
863   0.110453         NaN
864   0.109135         NaN
865   0.107784         NaN
866   0.101610         NaN
867   0.107424         NaN
868   0.112736         NaN
869   0.108594         NaN
870   0.110174         NaN
871   0.111370         NaN
872   0.112514         NaN
873   0.107166         NaN
874   0.104508         NaN
875   0.106781         NaN
876   0.102870         NaN
877   0.101838         NaN
878   0.101164         NaN
879   0.105423         NaN
880   0.092113         NaN
881   0.102821         NaN
882   0.102764         NaN
883   0.095563         NaN
884   0.104468         NaN
885   0.102838         NaN
886   0.097660         NaN
887   0.106659         NaN
888   0.097792         NaN
889   0.107930         NaN
890   0.106282         NaN
891   0.112188         NaN
892   0.114631         NaN
893   0.109007         NaN
894   0.114071         NaN
895   0.111743         NaN
896   0.108270         NaN
897   0.112031         NaN
898   0.101354         NaN
899   0.104400         NaN
900   0.105000    0.098062
901   0.097580         NaN
902   0.096434         NaN
903   0.092942         NaN
904   0.099417         NaN
905   0.090475         NaN
906   0.099704         NaN
907   0.093058         NaN
908   0.096884         NaN
909   0.097998         NaN
910   0.101023         NaN
911   0.112169         NaN
912   0.105069         NaN
913   0.108942         NaN
914   0.096671         NaN
915   0.100585         NaN
916   0.096694         NaN
917   0.092283         NaN
918   0.105867         NaN
919   0.108287         NaN
920   0.102566         NaN
921   0.102261         NaN
922   0.098962         NaN
923   0.096619         NaN
924   0.094883         NaN
925   0.092840         NaN
926   0.095068         NaN
927   0.097645         NaN
928   0.089158         NaN
929   0.100789         NaN
930   0.097531         NaN
931   0.108774         NaN
932   0.119731         NaN
933   0.111342         NaN
934   0.109246         NaN
935   0.096744         NaN
936   0.104736         NaN
937   0.112449         NaN
938   0.096277         NaN
939   0.102797         NaN
940   0.099432         NaN
941   0.096118         NaN
942   0.099217         NaN
943   0.094217         NaN
944   0.107014         NaN
945   0.096395         NaN
946   0.101618         NaN
947   0.098769         NaN
948   0.089912         NaN
949   0.095472         NaN
950   0.089888         NaN
951   0.088193         NaN
952   0.093603         NaN
953   0.086325         NaN
954   0.090226         NaN
955   0.092519         NaN
956   0.087049         NaN
957   0.094735         NaN
958   0.085549         NaN
959   0.098437         NaN
960   0.101364         NaN
961   0.108407         NaN
962   0.118101         NaN
963   0.095983         NaN
964   0.094867         NaN
965   0.094942         NaN
966   0.092393         NaN
967   0.096049         NaN
968   0.092457         NaN
969   0.091315         NaN
970   0.083538         NaN
971   0.091665         NaN
972   0.097648         NaN
973   0.091369         NaN
974   0.090567         NaN
975   0.088070         NaN
976   0.086380         NaN
977   0.087675         NaN
978   0.093738         NaN
979   0.090453         NaN
980   0.089257         NaN
981   0.092994         NaN
982   0.087831         NaN
983   0.087204         NaN
984   0.085695         NaN
985   0.089410         NaN
986   0.084351         NaN
987   0.086570         NaN
988   0.083057         NaN
989   0.090644         NaN
990   0.089708         NaN
991   0.098813         NaN
992   0.095746         NaN
993   0.098703         NaN
994   0.093821         NaN
995   0.100111         NaN
996   0.090573         NaN
